O3,YEAR,SO2,PM10,RADSOL,PM2.5,WD,MONTH,HR,TEMP,NO2
16.183043478260867,2014.0,17.080434782608698,48.2304347826087,,,167.60304347826087,1,60.91652173913043,16.874347826086957,6.192173913043478
10.632916666666668,2014.0,9.966666666666669,34.695,,,115.43375000000002,1,64.1725,16.347083333333334,8.195416666666667
18.264166666666664,2014.0,26.239166666666662,43.53625,,,113.85583333333334,1,55.54958333333334,14.929166666666667,6.702916666666667
12.044583333333334,2014.0,10.7425,62.52,,,173.94125,1,51.7725,16.397916666666667,6.745416666666666
13.2425,2014.0,7.292916666666667,75.18625,,,220.45125,1,46.55416666666667,16.614583333333332,7.779583333333334
12.000833333333333,2014.0,29.39,54.53416666666666,,,93.56958333333334,1,54.958333333333336,16.0225,11.13875
15.34625,2014.0,35.70541666666667,51.54666666666666,,,97.05875,1,55.06625,13.254166666666665,5.32625
11.8075,2014.0,14.986666666666666,53.70625,,,153.59958333333333,1,53.66083333333333,16.0675,6.430416666666667
13.910416666666668,2014.0,9.895833333333334,62.91041666666666,,,151.65,1,47.33958333333334,17.767083333333332,8.823333333333332
9.1525,2014.0,6.722083333333334,64.93625,,,198.24041666666668,1,44.63916666666666,17.899166666666666,6.015833333333333
8.316666666666666,2014.0,14.917916666666663,48.33125,,,168.4983333333333,1,47.36083333333334,19.60125,7.6825
16.978333333333335,2014.0,25.361666666666665,47.60708333333333,,,169.98041666666666,1,52.2325,18.50208333333333,5.602916666666666
10.990416666666668,2014.0,6.332083333333333,36.517916666666665,,,263.7295833333333,1,52.446666666666665,18.42375,7.880833333333332
17.64125,2014.0,24.35083333333333,49.434583333333336,,,138.7516666666667,1,43.02458333333333,17.63625,8.995
19.44,2014.0,29.87375,47.51833333333334,,,63.165,1,40.96583333333333,15.89625,6.882083333333334
15.727916666666667,2014.0,19.57208333333333,73.48041666666667,,,172.52583333333334,1,44.28375,13.412083333333332,7.49625
11.573333333333332,2014.0,12.1625,74.35875,,,121.54625,1,35.69541666666667,15.500416666666666,9.602083333333333
17.813333333333333,2014.0,30.10083333333333,63.69291666666666,,,140.55041666666668,1,40.715,15.0775,7.476666666666667
19.75166666666667,2014.0,28.094166666666663,55.48166666666666,,,86.56833333333333,1,33.17375,16.732083333333332,7.244583333333334
15.4075,2014.0,21.699583333333333,80.87416666666667,,,180.82541666666668,1,43.07875000000001,16.638749999999998,8.687083333333334
14.899583333333334,2014.0,23.09625,83.24666666666667,,,122.70958333333334,1,37.25291666666666,17.55375,8.612916666666667
19.555833333333336,2014.0,28.899583333333336,98.96416666666666,,,145.27541666666667,1,39.30791666666666,15.93625,6.845833333333334
19.1825,2014.0,9.755833333333332,107.7,,,211.45791666666665,1,44.50833333333333,18.329166666666666,11.604583333333332
18.131666666666668,2014.0,21.896666666666665,59.38833333333333,,,71.63208333333334,1,47.98083333333333,19.235,7.955000000000001
16.482499999999998,2014.0,22.206666666666667,70.90625,,,123.4775,1,50.70166666666666,18.346666666666668,7.142916666666667
16.613333333333333,2014.0,8.897083333333333,64.52166666666666,,,185.07666666666668,1,42.34666666666667,19.6375,7.50625
15.21875,2014.0,6.999583333333334,80.71833333333333,,,218.99041666666665,1,39.74666666666666,19.737916666666667,8.333333333333334
14.348333333333334,2014.0,6.5325,84.86916666666667,,,207.115,1,42.7425,19.63625,8.62375
11.24875,2014.0,7.185,62.62166666666667,,,219.9508333333333,1,41.810833333333335,18.260416666666668,9.720416666666669
15.507916666666668,2014.0,12.656666666666666,66.955,,,162.42125,1,47.98583333333334,16.36875,7.183333333333334
17.71708333333333,2014.0,7.6575,95.19333333333331,,,210.31125,1,39.85458333333333,18.117083333333333,9.899166666666668
14.556666666666668,2014.0,6.634583333333333,83.455,,,235.19583333333333,2,37.40375,19.615,9.366666666666667
15.469583333333333,2014.0,6.687916666666666,75.05708333333332,,,246.9343478260869,2,34.620416666666664,19.64,10.022083333333333
18.841666666666665,2014.0,11.4475,73.13458333333334,,,164.33666666666667,2,42.285833333333336,19.890416666666667,7.712499999999999
12.1175,2014.0,5.8375,59.89833333333333,,,238.15958333333333,2,44.03666666666667,19.53125,6.669583333333333
12.863333333333337,2014.0,7.067083333333334,76.84708333333333,,,215.70166666666668,2,38.30916666666666,19.616666666666667,9.764583333333333
18.797916666666666,2014.0,19.71625,76.11958333333332,,,170.02041666666665,2,43.09166666666667,19.57125,7.851666666666667
15.104583333333332,2014.0,6.525416666666666,81.1925,,,240.2170833333333,2,43.14208333333334,20.02208333333333,8.84375
17.930833333333336,2014.0,8.14125,92.85333333333334,,,213.43291666666667,2,35.99041666666667,20.374166666666667,10.315833333333332
18.5525,2014.0,14.47125,63.20249999999999,,,163.9975,2,33.7325,20.995416666666667,9.3275
16.070416666666667,2014.0,12.202916666666669,74.71913043478261,,,185.52666666666667,2,29.852083333333336,20.54583333333333,8.42
15.051666666666668,2014.0,8.575000000000001,73.86173913043478,,,198.7158333333333,2,30.846666666666664,20.610416666666666,8.489166666666668
16.65875,2014.0,6.6925,65.9491304347826,,,218.5245833333333,2,34.014583333333334,20.029166666666665,9.88875
14.85625,2014.0,17.18375,84.91136363636363,,,153.80166666666668,2,27.90833333333333,19.61458333333333,9.59125
14.697916666666666,2014.0,6.771249999999999,97.04375,,,214.7158333333333,2,29.444166666666664,19.79458333333333,10.525416666666668
14.849166666666669,2014.0,15.862083333333333,84.60333333333334,,,120.96083333333333,2,24.15625,20.74458333333333,10.572916666666666
