YEAR,NO2,O3,RADSOL,WD,PBAR,SO2
2014.0,6.192173913043478,16.183043478260867,,167.60304347826087,623.4139130434783,17.080434782608698
2014.0,8.195416666666667,10.632916666666668,,115.43375000000002,623.6191666666667,9.966666666666669
2014.0,6.702916666666667,18.264166666666664,,113.85583333333334,624.235,26.239166666666662
2014.0,6.745416666666666,12.044583333333334,,173.94125,623.3475,10.7425
2014.0,7.779583333333334,13.2425,,220.45125,623.1141666666666,7.292916666666667
2014.0,11.13875,12.000833333333333,,93.56958333333334,623.9358333333333,29.39
2014.0,5.32625,15.34625,,97.05875,625.4725,35.70541666666667
2014.0,6.430416666666667,11.8075,,153.59958333333333,624.6229166666667,14.986666666666666
2014.0,8.823333333333332,13.910416666666668,,151.65,623.6483333333333,9.895833333333334
2014.0,6.015833333333333,9.1525,,198.24041666666668,622.5895833333333,6.722083333333334
2014.0,7.6825,8.316666666666666,,168.4983333333333,623.7295833333334,14.917916666666663
2014.0,5.602916666666666,16.978333333333335,,169.98041666666666,623.83375,25.361666666666665
2014.0,7.880833333333332,10.990416666666668,,263.7295833333333,624.5566666666667,6.332083333333333
2014.0,8.995,17.64125,,138.7516666666667,623.965,24.35083333333333
2014.0,6.882083333333334,19.44,,63.165,625.1870833333334,29.87375
2014.0,7.49625,15.727916666666667,,172.52583333333334,623.6641666666667,19.57208333333333
2014.0,9.602083333333333,11.573333333333332,,121.54625,623.3075,12.1625
2014.0,7.476666666666667,17.813333333333333,,140.55041666666668,623.9658333333333,30.10083333333333
2014.0,7.244583333333334,19.75166666666667,,86.56833333333333,624.9120833333333,28.094166666666663
2014.0,8.687083333333334,15.4075,,180.82541666666668,624.4425,21.699583333333333
2014.0,8.612916666666667,14.899583333333334,,122.70958333333334,624.7004166666667,23.09625
2014.0,6.845833333333334,19.555833333333336,,145.27541666666667,623.7062500000001,28.899583333333336
2014.0,11.604583333333332,19.1825,,211.45791666666665,623.1525,9.755833333333332
2014.0,7.955000000000001,18.131666666666668,,71.63208333333334,625.4633333333333,21.896666666666665
2014.0,7.142916666666667,16.482499999999998,,123.4775,624.90625,22.206666666666667
2014.0,7.50625,16.613333333333333,,185.07666666666668,622.8816666666667,8.897083333333333
2014.0,8.333333333333334,15.21875,,218.99041666666665,621.9470833333334,6.999583333333334
2014.0,8.62375,14.348333333333334,,207.115,621.3008333333333,6.5325
2014.0,9.720416666666669,11.24875,,219.9508333333333,621.3091666666667,7.185
2014.0,7.183333333333334,15.507916666666668,,162.42125,622.7162500000001,12.656666666666666
2014.0,9.899166666666668,17.71708333333333,,210.31125,621.9579166666666,7.6575
2014.0,9.366666666666667,14.556666666666668,,235.19583333333333,621.2358333333333,6.634583333333333
2014.0,10.022083333333333,15.469583333333333,,246.9343478260869,621.4745833333333,6.687916666666666
2014.0,7.712499999999999,18.841666666666665,,164.33666666666667,621.2820833333334,11.4475
2014.0,6.669583333333333,12.1175,,238.15958333333333,621.0595833333333,5.8375
2014.0,9.764583333333333,12.863333333333337,,215.70166666666668,621.7795833333333,7.067083333333334
2014.0,7.851666666666667,18.797916666666666,,170.02041666666665,622.23875,19.71625
2014.0,8.84375,15.104583333333332,,240.2170833333333,622.7970833333334,6.525416666666666
2014.0,10.315833333333332,17.930833333333336,,213.43291666666667,623.1345833333334,8.14125
2014.0,9.3275,18.5525,,163.9975,622.7445833333333,14.47125
2014.0,8.42,16.070416666666667,,185.52666666666667,622.12125,12.202916666666669
2014.0,8.489166666666668,15.051666666666668,,198.7158333333333,621.4645833333333,8.575000000000001
2014.0,9.88875,16.65875,,218.5245833333333,622.3395833333333,6.6925
2014.0,9.59125,14.85625,,153.80166666666668,622.0595833333333,17.18375
2014.0,10.525416666666668,14.697916666666666,,214.7158333333333,622.7787500000001,6.771249999999999
2014.0,10.572916666666666,14.849166666666669,,120.96083333333333,623.98375,15.862083333333333
2014.0,8.536666666666667,13.937083333333334,,151.15958333333333,623.71875,21.425833333333333
2014.0,7.93625,17.372916666666665,,164.66,623.0545833333333,8.9375
2014.0,7.72375,16.799583333333334,,163.86416666666665,622.4745833333333,24.33791666666667
2014.0,10.857916666666666,17.312083333333334,,187.2575,621.2779166666667,9.211666666666666
2014.0,10.585,18.021666666666665,,255.015,621.4775,5.585833333333333
2014.0,12.5625,18.5,,157.14041666666665,621.9266666666666,16.554166666666667
2014.0,6.755,17.865,,171.9,621.9562500000001,15.684583333333334
2014.0,7.667916666666667,15.532916666666669,,226.2179166666667,622.7941666666667,6.09875
2014.0,9.003333333333334,14.02625,,232.75041666666667,622.1520833333333,6.760416666666667
2014.0,8.680833333333334,13.892083333333332,,225.1654166666667,627.2945833333333,8.384166666666667
2014.0,9.2025,13.506666666666668,,258.55333333333334,630.4383333333334,6.014166666666667
2014.0,8.34,13.626666666666669,,247.4970833333333,629.5354166666667,5.649166666666667
2014.0,8.764583333333333,14.712083333333332,,196.46041666666667,630.4320833333334,7.81375
2014.0,9.06625,16.11,,251.0195833333333,631.9350000000001,6.3429166666666665
2014.0,8.8475,14.01,,260.72083333333336,631.5720833333334,6.056666666666668
2014.0,9.965416666666666,13.897083333333333,,233.0391304347826,630.125,7.895833333333333
2014.0,7.3379166666666675,12.896666666666668,,175.15583333333333,629.3666666666667,10.535
2014.0,7.580416666666667,11.885833333333332,,254.6383333333333,629.7991666666667,5.907916666666666
2014.0,8.109583333333333,14.170416666666666,,196.0320833333333,627.4929166666667,8.925416666666667
2014.0,6.559583333333333,13.556666666666668,,189.20916666666668,623.3570833333333,11.799166666666666
