RADSOL,YEAR,PM10,TEMP,SEASON,HR,PM2.5,MONTH,O3,CO
,2014.0,48.2304347826087,16.874347826086957,3.0,60.91652173913043,,1,16.183043478260867,0.1773913043478261
,2014.0,34.695,16.347083333333334,3.0,64.1725,,1,10.632916666666668,0.345
,2014.0,43.53625,14.929166666666667,3.0,55.54958333333334,,1,18.264166666666664,0.4325
,2014.0,62.52,16.397916666666667,3.0,51.7725,,1,12.044583333333334,0.2991666666666666
,2014.0,75.18625,16.614583333333332,3.0,46.55416666666667,,1,13.2425,0.94
,2014.0,54.53416666666666,16.0225,3.0,54.958333333333336,,1,12.000833333333333,0.3836363636363636
,2014.0,51.54666666666666,13.254166666666665,3.0,55.06625,,1,15.34625,0.02
,2014.0,53.70625,16.0675,3.0,53.66083333333333,,1,11.8075,0.4618181818181818
,2014.0,62.91041666666666,17.767083333333332,3.0,47.33958333333334,,1,13.910416666666668,1.1666666666666667
,2014.0,64.93625,17.899166666666666,3.0,44.63916666666666,,1,9.1525,0.4452380952380952
,2014.0,48.33125,19.60125,3.0,47.36083333333334,,1,8.316666666666666,0.4645833333333333
,2014.0,47.60708333333333,18.50208333333333,3.0,52.2325,,1,16.978333333333335,0.0829166666666666
,2014.0,36.517916666666665,18.42375,3.0,52.446666666666665,,1,10.990416666666668,0.2629166666666666
,2014.0,49.434583333333336,17.63625,3.0,43.02458333333333,,1,17.64125,0.2504166666666667
,2014.0,47.51833333333334,15.89625,3.0,40.96583333333333,,1,19.44,0.4104166666666666
,2014.0,73.48041666666667,13.412083333333332,3.0,44.28375,,1,15.727916666666667,0.38
,2014.0,74.35875,15.500416666666666,3.0,35.69541666666667,,1,11.573333333333332,0.6879166666666666
,2014.0,63.69291666666666,15.0775,3.0,40.715,,1,17.813333333333333,0.9045833333333334
,2014.0,55.48166666666666,16.732083333333332,3.0,33.17375,,1,19.75166666666667,0.3041666666666666
,2014.0,80.87416666666667,16.638749999999998,3.0,43.07875000000001,,1,15.4075,0.5291666666666667
,2014.0,83.24666666666667,17.55375,3.0,37.25291666666666,,1,14.899583333333334,0.57375
,2014.0,98.96416666666666,15.93625,3.0,39.30791666666666,,1,19.555833333333336,0.6220833333333333
,2014.0,107.7,18.329166666666666,3.0,44.50833333333333,,1,19.1825,0.92125
,2014.0,59.38833333333333,19.235,3.0,47.98083333333333,,1,18.131666666666668,0.5979166666666667
,2014.0,70.90625,18.346666666666668,3.0,50.70166666666666,,1,16.482499999999998,0.1341666666666666
,2014.0,64.52166666666666,19.6375,3.0,42.34666666666667,,1,16.613333333333333,0.2283333333333333
,2014.0,80.71833333333333,19.737916666666667,3.0,39.74666666666666,,1,15.21875,0.3483333333333333
,2014.0,84.86916666666667,19.63625,3.0,42.7425,,1,14.348333333333334,0.51875
,2014.0,62.62166666666667,18.260416666666668,3.0,41.810833333333335,,1,11.24875,0.4966666666666666
,2014.0,66.955,16.36875,3.0,47.98583333333334,,1,15.507916666666668,0.2879166666666666
,2014.0,95.19333333333331,18.117083333333333,3.0,39.85458333333333,,1,17.71708333333333,0.5808333333333333
,2014.0,83.455,19.615,3.0,37.40375,,2,14.556666666666668,0.5845833333333333
,2014.0,75.05708333333332,19.64,3.0,34.620416666666664,,2,15.469583333333333,0.7354166666666666
,2014.0,73.13458333333334,19.890416666666667,3.0,42.285833333333336,,2,18.841666666666665,0.28125
,2014.0,59.89833333333333,19.53125,3.0,44.03666666666667,,2,12.1175,0.2975
,2014.0,76.84708333333333,19.616666666666667,3.0,38.30916666666666,,2,12.863333333333337,0.7125
,2014.0,76.11958333333332,19.57125,3.0,43.09166666666667,,2,18.797916666666666,0.2833333333333334
,2014.0,81.1925,20.02208333333333,3.0,43.14208333333334,,2,15.104583333333332,0.4658333333333333
,2014.0,92.85333333333334,20.374166666666667,3.0,35.99041666666667,,2,17.930833333333336,0.4966666666666666
,2014.0,63.20249999999999,20.995416666666667,3.0,33.7325,,2,18.5525,0.35
,2014.0,74.71913043478261,20.54583333333333,3.0,29.852083333333336,,2,16.070416666666667,0.3766666666666666
,2014.0,73.86173913043478,20.610416666666666,3.0,30.846666666666664,,2,15.051666666666668,0.5045833333333333
,2014.0,65.9491304347826,20.029166666666665,3.0,34.014583333333334,,2,16.65875,0.47875
,2014.0,84.91136363636363,19.61458333333333,3.0,27.90833333333333,,2,14.85625,0.3058333333333333
,2014.0,97.04375,19.79458333333333,3.0,29.444166666666664,,2,14.697916666666666,0.7195833333333334
,2014.0,84.60333333333334,20.74458333333333,3.0,24.15625,,2,14.849166666666669,0.5858333333333333
,2014.0,59.30318181818182,20.48708333333333,3.0,21.7975,,2,13.937083333333334,0.2654166666666667
,2014.0,63.401250000000005,20.78291666666667,3.0,25.22125,,2,17.372916666666665,0.4754166666666666
,2014.0,64.645,21.19125,3.0,23.582083333333333,,2,16.799583333333334,0.2754166666666667
,2014.0,86.84125,21.541666666666668,3.0,30.57375,,2,17.312083333333334,0.5325
,2014.0,66.74333333333333,20.937916666666663,3.0,38.96416666666666,,2,18.021666666666665,0.3933333333333333
,2014.0,94.20916666666666,20.875833333333333,3.0,38.958333333333336,,2,18.5,0.5795833333333333
,2014.0,59.97708333333333,21.242916666666662,3.0,46.092083333333335,,2,17.865,0.2441666666666666
,2014.0,47.5325,20.648333333333333,3.0,42.61291666666667,,2,15.532916666666669,0.21375
,2014.0,81.63291666666667,21.1475,3.0,42.48166666666667,,2,14.02625,0.4204166666666666
,2014.0,83.77166666666666,21.03,3.0,41.7275,,2,13.892083333333332,0.4329166666666666
