NO2,YEAR,RADSOL,SO2,TEMP,SEASON,PM10,CO,O3
6.192173913043478,2014.0,,17.080434782608698,16.874347826086957,3.0,48.2304347826087,0.1773913043478261,16.183043478260867
8.195416666666667,2014.0,,9.966666666666669,16.347083333333334,3.0,34.695,0.345,10.632916666666668
6.702916666666667,2014.0,,26.239166666666662,14.929166666666667,3.0,43.53625,0.4325,18.264166666666664
6.745416666666666,2014.0,,10.7425,16.397916666666667,3.0,62.52,0.2991666666666666,12.044583333333334
7.779583333333334,2014.0,,7.292916666666667,16.614583333333332,3.0,75.18625,0.94,13.2425
11.13875,2014.0,,29.39,16.0225,3.0,54.53416666666666,0.3836363636363636,12.000833333333333
5.32625,2014.0,,35.70541666666667,13.254166666666665,3.0,51.54666666666666,0.02,15.34625
6.430416666666667,2014.0,,14.986666666666666,16.0675,3.0,53.70625,0.4618181818181818,11.8075
8.823333333333332,2014.0,,9.895833333333334,17.767083333333332,3.0,62.91041666666666,1.1666666666666667,13.910416666666668
6.015833333333333,2014.0,,6.722083333333334,17.899166666666666,3.0,64.93625,0.4452380952380952,9.1525
7.6825,2014.0,,14.917916666666663,19.60125,3.0,48.33125,0.4645833333333333,8.316666666666666
5.602916666666666,2014.0,,25.361666666666665,18.50208333333333,3.0,47.60708333333333,0.0829166666666666,16.978333333333335
7.880833333333332,2014.0,,6.332083333333333,18.42375,3.0,36.517916666666665,0.2629166666666666,10.990416666666668
8.995,2014.0,,24.35083333333333,17.63625,3.0,49.434583333333336,0.2504166666666667,17.64125
6.882083333333334,2014.0,,29.87375,15.89625,3.0,47.51833333333334,0.4104166666666666,19.44
7.49625,2014.0,,19.57208333333333,13.412083333333332,3.0,73.48041666666667,0.38,15.727916666666667
9.602083333333333,2014.0,,12.1625,15.500416666666666,3.0,74.35875,0.6879166666666666,11.573333333333332
7.476666666666667,2014.0,,30.10083333333333,15.0775,3.0,63.69291666666666,0.9045833333333334,17.813333333333333
7.244583333333334,2014.0,,28.094166666666663,16.732083333333332,3.0,55.48166666666666,0.3041666666666666,19.75166666666667
8.687083333333334,2014.0,,21.699583333333333,16.638749999999998,3.0,80.87416666666667,0.5291666666666667,15.4075
8.612916666666667,2014.0,,23.09625,17.55375,3.0,83.24666666666667,0.57375,14.899583333333334
6.845833333333334,2014.0,,28.899583333333336,15.93625,3.0,98.96416666666666,0.6220833333333333,19.555833333333336
11.604583333333332,2014.0,,9.755833333333332,18.329166666666666,3.0,107.7,0.92125,19.1825
7.955000000000001,2014.0,,21.896666666666665,19.235,3.0,59.38833333333333,0.5979166666666667,18.131666666666668
7.142916666666667,2014.0,,22.206666666666667,18.346666666666668,3.0,70.90625,0.1341666666666666,16.482499999999998
7.50625,2014.0,,8.897083333333333,19.6375,3.0,64.52166666666666,0.2283333333333333,16.613333333333333
8.333333333333334,2014.0,,6.999583333333334,19.737916666666667,3.0,80.71833333333333,0.3483333333333333,15.21875
8.62375,2014.0,,6.5325,19.63625,3.0,84.86916666666667,0.51875,14.348333333333334
9.720416666666669,2014.0,,7.185,18.260416666666668,3.0,62.62166666666667,0.4966666666666666,11.24875
7.183333333333334,2014.0,,12.656666666666666,16.36875,3.0,66.955,0.2879166666666666,15.507916666666668
9.899166666666668,2014.0,,7.6575,18.117083333333333,3.0,95.19333333333331,0.5808333333333333,17.71708333333333
9.366666666666667,2014.0,,6.634583333333333,19.615,3.0,83.455,0.5845833333333333,14.556666666666668
10.022083333333333,2014.0,,6.687916666666666,19.64,3.0,75.05708333333332,0.7354166666666666,15.469583333333333
7.712499999999999,2014.0,,11.4475,19.890416666666667,3.0,73.13458333333334,0.28125,18.841666666666665
6.669583333333333,2014.0,,5.8375,19.53125,3.0,59.89833333333333,0.2975,12.1175
9.764583333333333,2014.0,,7.067083333333334,19.616666666666667,3.0,76.84708333333333,0.7125,12.863333333333337
7.851666666666667,2014.0,,19.71625,19.57125,3.0,76.11958333333332,0.2833333333333334,18.797916666666666
8.84375,2014.0,,6.525416666666666,20.02208333333333,3.0,81.1925,0.4658333333333333,15.104583333333332
10.315833333333332,2014.0,,8.14125,20.374166666666667,3.0,92.85333333333334,0.4966666666666666,17.930833333333336
9.3275,2014.0,,14.47125,20.995416666666667,3.0,63.20249999999999,0.35,18.5525
8.42,2014.0,,12.202916666666669,20.54583333333333,3.0,74.71913043478261,0.3766666666666666,16.070416666666667
8.489166666666668,2014.0,,8.575000000000001,20.610416666666666,3.0,73.86173913043478,0.5045833333333333,15.051666666666668
9.88875,2014.0,,6.6925,20.029166666666665,3.0,65.9491304347826,0.47875,16.65875
9.59125,2014.0,,17.18375,19.61458333333333,3.0,84.91136363636363,0.3058333333333333,14.85625
10.525416666666668,2014.0,,6.771249999999999,19.79458333333333,3.0,97.04375,0.7195833333333334,14.697916666666666
10.572916666666666,2014.0,,15.862083333333333,20.74458333333333,3.0,84.60333333333334,0.5858333333333333,14.849166666666669
8.536666666666667,2014.0,,21.425833333333333,20.48708333333333,3.0,59.30318181818182,0.2654166666666667,13.937083333333334
7.93625,2014.0,,8.9375,20.78291666666667,3.0,63.401250000000005,0.4754166666666666,17.372916666666665
7.72375,2014.0,,24.33791666666667,21.19125,3.0,64.645,0.2754166666666667,16.799583333333334
10.857916666666666,2014.0,,9.211666666666666,21.541666666666668,3.0,86.84125,0.5325,17.312083333333334
10.585,2014.0,,5.585833333333333,20.937916666666663,3.0,66.74333333333333,0.3933333333333333,18.021666666666665
12.5625,2014.0,,16.554166666666667,20.875833333333333,3.0,94.20916666666666,0.5795833333333333,18.5
