PM2.5,HR,NO2,YEAR,WD,MONTH,CO,SEASON,O3,TEMP,PM10
,60.91652173913043,6.192173913043478,2014.0,167.60304347826087,1,0.1773913043478261,3.0,16.183043478260867,16.874347826086957,48.2304347826087
,64.1725,8.195416666666667,2014.0,115.43375000000002,1,0.345,3.0,10.632916666666668,16.347083333333334,34.695
,55.54958333333334,6.702916666666667,2014.0,113.85583333333334,1,0.4325,3.0,18.264166666666664,14.929166666666667,43.53625
,51.7725,6.745416666666666,2014.0,173.94125,1,0.2991666666666666,3.0,12.044583333333334,16.397916666666667,62.52
,46.55416666666667,7.779583333333334,2014.0,220.45125,1,0.94,3.0,13.2425,16.614583333333332,75.18625
,54.958333333333336,11.13875,2014.0,93.56958333333334,1,0.3836363636363636,3.0,12.000833333333333,16.0225,54.53416666666666
,55.06625,5.32625,2014.0,97.05875,1,0.02,3.0,15.34625,13.254166666666665,51.54666666666666
,53.66083333333333,6.430416666666667,2014.0,153.59958333333333,1,0.4618181818181818,3.0,11.8075,16.0675,53.70625
,47.33958333333334,8.823333333333332,2014.0,151.65,1,1.1666666666666667,3.0,13.910416666666668,17.767083333333332,62.91041666666666
,44.63916666666666,6.015833333333333,2014.0,198.24041666666668,1,0.4452380952380952,3.0,9.1525,17.899166666666666,64.93625
,47.36083333333334,7.6825,2014.0,168.4983333333333,1,0.4645833333333333,3.0,8.316666666666666,19.60125,48.33125
,52.2325,5.602916666666666,2014.0,169.98041666666666,1,0.0829166666666666,3.0,16.978333333333335,18.50208333333333,47.60708333333333
,52.446666666666665,7.880833333333332,2014.0,263.7295833333333,1,0.2629166666666666,3.0,10.990416666666668,18.42375,36.517916666666665
,43.02458333333333,8.995,2014.0,138.7516666666667,1,0.2504166666666667,3.0,17.64125,17.63625,49.434583333333336
,40.96583333333333,6.882083333333334,2014.0,63.165,1,0.4104166666666666,3.0,19.44,15.89625,47.51833333333334
,44.28375,7.49625,2014.0,172.52583333333334,1,0.38,3.0,15.727916666666667,13.412083333333332,73.48041666666667
,35.69541666666667,9.602083333333333,2014.0,121.54625,1,0.6879166666666666,3.0,11.573333333333332,15.500416666666666,74.35875
,40.715,7.476666666666667,2014.0,140.55041666666668,1,0.9045833333333334,3.0,17.813333333333333,15.0775,63.69291666666666
,33.17375,7.244583333333334,2014.0,86.56833333333333,1,0.3041666666666666,3.0,19.75166666666667,16.732083333333332,55.48166666666666
,43.07875000000001,8.687083333333334,2014.0,180.82541666666668,1,0.5291666666666667,3.0,15.4075,16.638749999999998,80.87416666666667
,37.25291666666666,8.612916666666667,2014.0,122.70958333333334,1,0.57375,3.0,14.899583333333334,17.55375,83.24666666666667
,39.30791666666666,6.845833333333334,2014.0,145.27541666666667,1,0.6220833333333333,3.0,19.555833333333336,15.93625,98.96416666666666
,44.50833333333333,11.604583333333332,2014.0,211.45791666666665,1,0.92125,3.0,19.1825,18.329166666666666,107.7
,47.98083333333333,7.955000000000001,2014.0,71.63208333333334,1,0.5979166666666667,3.0,18.131666666666668,19.235,59.38833333333333
,50.70166666666666,7.142916666666667,2014.0,123.4775,1,0.1341666666666666,3.0,16.482499999999998,18.346666666666668,70.90625
,42.34666666666667,7.50625,2014.0,185.07666666666668,1,0.2283333333333333,3.0,16.613333333333333,19.6375,64.52166666666666
,39.74666666666666,8.333333333333334,2014.0,218.99041666666665,1,0.3483333333333333,3.0,15.21875,19.737916666666667,80.71833333333333
,42.7425,8.62375,2014.0,207.115,1,0.51875,3.0,14.348333333333334,19.63625,84.86916666666667
,41.810833333333335,9.720416666666669,2014.0,219.9508333333333,1,0.4966666666666666,3.0,11.24875,18.260416666666668,62.62166666666667
,47.98583333333334,7.183333333333334,2014.0,162.42125,1,0.2879166666666666,3.0,15.507916666666668,16.36875,66.955
,39.85458333333333,9.899166666666668,2014.0,210.31125,1,0.5808333333333333,3.0,17.71708333333333,18.117083333333333,95.19333333333331
,37.40375,9.366666666666667,2014.0,235.19583333333333,2,0.5845833333333333,3.0,14.556666666666668,19.615,83.455
,34.620416666666664,10.022083333333333,2014.0,246.9343478260869,2,0.7354166666666666,3.0,15.469583333333333,19.64,75.05708333333332
,42.285833333333336,7.712499999999999,2014.0,164.33666666666667,2,0.28125,3.0,18.841666666666665,19.890416666666667,73.13458333333334
,44.03666666666667,6.669583333333333,2014.0,238.15958333333333,2,0.2975,3.0,12.1175,19.53125,59.89833333333333
,38.30916666666666,9.764583333333333,2014.0,215.70166666666668,2,0.7125,3.0,12.863333333333337,19.616666666666667,76.84708333333333
,43.09166666666667,7.851666666666667,2014.0,170.02041666666665,2,0.2833333333333334,3.0,18.797916666666666,19.57125,76.11958333333332
,43.14208333333334,8.84375,2014.0,240.2170833333333,2,0.4658333333333333,3.0,15.104583333333332,20.02208333333333,81.1925
,35.99041666666667,10.315833333333332,2014.0,213.43291666666667,2,0.4966666666666666,3.0,17.930833333333336,20.374166666666667,92.85333333333334
,33.7325,9.3275,2014.0,163.9975,2,0.35,3.0,18.5525,20.995416666666667,63.20249999999999
,29.852083333333336,8.42,2014.0,185.52666666666667,2,0.3766666666666666,3.0,16.070416666666667,20.54583333333333,74.71913043478261
,30.846666666666664,8.489166666666668,2014.0,198.7158333333333,2,0.5045833333333333,3.0,15.051666666666668,20.610416666666666,73.86173913043478
,34.014583333333334,9.88875,2014.0,218.5245833333333,2,0.47875,3.0,16.65875,20.029166666666665,65.9491304347826
,27.90833333333333,9.59125,2014.0,153.80166666666668,2,0.3058333333333333,3.0,14.85625,19.61458333333333,84.91136363636363
