PM10,HR,WD,RADSOL,NO2,MONTH,CO,PBAR,PM2.5
48.2304347826087,60.91652173913043,167.60304347826087,,6.192173913043478,1,0.1773913043478261,623.4139130434783,
34.695,64.1725,115.43375000000002,,8.195416666666667,1,0.345,623.6191666666667,
43.53625,55.54958333333334,113.85583333333334,,6.702916666666667,1,0.4325,624.235,
62.52,51.7725,173.94125,,6.745416666666666,1,0.2991666666666666,623.3475,
75.18625,46.55416666666667,220.45125,,7.779583333333334,1,0.94,623.1141666666666,
54.53416666666666,54.958333333333336,93.56958333333334,,11.13875,1,0.3836363636363636,623.9358333333333,
51.54666666666666,55.06625,97.05875,,5.32625,1,0.02,625.4725,
53.70625,53.66083333333333,153.59958333333333,,6.430416666666667,1,0.4618181818181818,624.6229166666667,
62.91041666666666,47.33958333333334,151.65,,8.823333333333332,1,1.1666666666666667,623.6483333333333,
64.93625,44.63916666666666,198.24041666666668,,6.015833333333333,1,0.4452380952380952,622.5895833333333,
48.33125,47.36083333333334,168.4983333333333,,7.6825,1,0.4645833333333333,623.7295833333334,
47.60708333333333,52.2325,169.98041666666666,,5.602916666666666,1,0.0829166666666666,623.83375,
36.517916666666665,52.446666666666665,263.7295833333333,,7.880833333333332,1,0.2629166666666666,624.5566666666667,
49.434583333333336,43.02458333333333,138.7516666666667,,8.995,1,0.2504166666666667,623.965,
47.51833333333334,40.96583333333333,63.165,,6.882083333333334,1,0.4104166666666666,625.1870833333334,
73.48041666666667,44.28375,172.52583333333334,,7.49625,1,0.38,623.6641666666667,
74.35875,35.69541666666667,121.54625,,9.602083333333333,1,0.6879166666666666,623.3075,
63.69291666666666,40.715,140.55041666666668,,7.476666666666667,1,0.9045833333333334,623.9658333333333,
55.48166666666666,33.17375,86.56833333333333,,7.244583333333334,1,0.3041666666666666,624.9120833333333,
80.87416666666667,43.07875000000001,180.82541666666668,,8.687083333333334,1,0.5291666666666667,624.4425,
83.24666666666667,37.25291666666666,122.70958333333334,,8.612916666666667,1,0.57375,624.7004166666667,
98.96416666666666,39.30791666666666,145.27541666666667,,6.845833333333334,1,0.6220833333333333,623.7062500000001,
107.7,44.50833333333333,211.45791666666665,,11.604583333333332,1,0.92125,623.1525,
59.38833333333333,47.98083333333333,71.63208333333334,,7.955000000000001,1,0.5979166666666667,625.4633333333333,
70.90625,50.70166666666666,123.4775,,7.142916666666667,1,0.1341666666666666,624.90625,
64.52166666666666,42.34666666666667,185.07666666666668,,7.50625,1,0.2283333333333333,622.8816666666667,
80.71833333333333,39.74666666666666,218.99041666666665,,8.333333333333334,1,0.3483333333333333,621.9470833333334,
84.86916666666667,42.7425,207.115,,8.62375,1,0.51875,621.3008333333333,
62.62166666666667,41.810833333333335,219.9508333333333,,9.720416666666669,1,0.4966666666666666,621.3091666666667,
66.955,47.98583333333334,162.42125,,7.183333333333334,1,0.2879166666666666,622.7162500000001,
95.19333333333331,39.85458333333333,210.31125,,9.899166666666668,1,0.5808333333333333,621.9579166666666,
83.455,37.40375,235.19583333333333,,9.366666666666667,2,0.5845833333333333,621.2358333333333,
75.05708333333332,34.620416666666664,246.9343478260869,,10.022083333333333,2,0.7354166666666666,621.4745833333333,
73.13458333333334,42.285833333333336,164.33666666666667,,7.712499999999999,2,0.28125,621.2820833333334,
59.89833333333333,44.03666666666667,238.15958333333333,,6.669583333333333,2,0.2975,621.0595833333333,
76.84708333333333,38.30916666666666,215.70166666666668,,9.764583333333333,2,0.7125,621.7795833333333,
76.11958333333332,43.09166666666667,170.02041666666665,,7.851666666666667,2,0.2833333333333334,622.23875,
81.1925,43.14208333333334,240.2170833333333,,8.84375,2,0.4658333333333333,622.7970833333334,
92.85333333333334,35.99041666666667,213.43291666666667,,10.315833333333332,2,0.4966666666666666,623.1345833333334,
63.20249999999999,33.7325,163.9975,,9.3275,2,0.35,622.7445833333333,
74.71913043478261,29.852083333333336,185.52666666666667,,8.42,2,0.3766666666666666,622.12125,
73.86173913043478,30.846666666666664,198.7158333333333,,8.489166666666668,2,0.5045833333333333,621.4645833333333,
65.9491304347826,34.014583333333334,218.5245833333333,,9.88875,2,0.47875,622.3395833333333,
84.91136363636363,27.90833333333333,153.80166666666668,,9.59125,2,0.3058333333333333,622.0595833333333,
97.04375,29.444166666666664,214.7158333333333,,10.525416666666668,2,0.7195833333333334,622.7787500000001,
84.60333333333334,24.15625,120.96083333333333,,10.572916666666666,2,0.5858333333333333,623.98375,
59.30318181818182,21.7975,151.15958333333333,,8.536666666666667,2,0.2654166666666667,623.71875,
63.401250000000005,25.22125,164.66,,7.93625,2,0.4754166666666666,623.0545833333333,
64.645,23.582083333333333,163.86416666666665,,7.72375,2,0.2754166666666667,622.4745833333333,
86.84125,30.57375,187.2575,,10.857916666666666,2,0.5325,621.2779166666667,
66.74333333333333,38.96416666666666,255.015,,10.585,2,0.3933333333333333,621.4775,
94.20916666666666,38.958333333333336,157.14041666666665,,12.5625,2,0.5795833333333333,621.9266666666666,
59.97708333333333,46.092083333333335,171.9,,6.755,2,0.2441666666666666,621.9562500000001,
47.5325,42.61291666666667,226.2179166666667,,7.667916666666667,2,0.21375,622.7941666666667,
81.63291666666667,42.48166666666667,232.75041666666667,,9.003333333333334,2,0.4204166666666666,622.1520833333333,
83.77166666666666,41.7275,225.1654166666667,,8.680833333333334,2,0.4329166666666666,627.2945833333333,
65.93541666666667,39.49166666666667,258.55333333333334,,9.2025,2,0.6525,630.4383333333334,
50.70875,32.483333333333334,247.4970833333333,,8.34,2,0.2541666666666666,629.5354166666667,
