YEAR,MONTH,DAY,O3,SO2,CO,NO2,PM2.5,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,SEASON
2014.0,1,1.0,16.183043478260867,17.080434782608698,0.1773913043478261,6.192173913043478,,48.2304347826087,2.680434782608696,167.60304347826087,16.874347826086957,60.91652173913043,623.4139130434783,,3.0
2014.0,1,2.0,10.632916666666668,9.966666666666669,0.345,8.195416666666667,,34.695,3.2279166666666668,115.43375000000002,16.347083333333334,64.1725,623.6191666666667,,3.0
2014.0,1,3.0,18.264166666666664,26.239166666666662,0.4325,6.702916666666667,,43.53625,3.5541666666666667,113.85583333333334,14.929166666666667,55.54958333333334,624.235,,3.0
2014.0,1,4.0,12.044583333333334,10.7425,0.2991666666666666,6.745416666666666,,62.52,2.2816666666666667,173.94125,16.397916666666667,51.7725,623.3475,,3.0
2014.0,1,5.0,13.2425,7.292916666666667,0.94,7.779583333333334,,75.18625,1.84125,220.45125,16.614583333333332,46.55416666666667,623.1141666666666,,3.0
2014.0,1,6.0,12.000833333333333,29.39,0.3836363636363636,11.13875,,54.53416666666666,4.08,93.56958333333334,16.0225,54.958333333333336,623.9358333333333,,3.0
2014.0,1,7.0,15.34625,35.70541666666667,0.02,5.32625,,51.54666666666666,4.39,97.05875,13.254166666666665,55.06625,625.4725,,3.0
2014.0,1,8.0,11.8075,14.986666666666666,0.4618181818181818,6.430416666666667,,53.70625,2.623333333333333,153.59958333333333,16.0675,53.66083333333333,624.6229166666667,,3.0
2014.0,1,9.0,13.910416666666668,9.895833333333334,1.1666666666666667,8.823333333333332,,62.91041666666666,1.9366666666666668,151.65,17.767083333333332,47.33958333333334,623.6483333333333,,3.0
2014.0,1,10.0,9.1525,6.722083333333334,0.4452380952380952,6.015833333333333,,64.93625,1.8966666666666667,198.24041666666668,17.899166666666666,44.63916666666666,622.5895833333333,,3.0
2014.0,1,11.0,8.316666666666666,14.917916666666663,0.4645833333333333,7.6825,,48.33125,2.5170833333333333,168.4983333333333,19.60125,47.36083333333334,623.7295833333334,,3.0
2014.0,1,12.0,16.978333333333335,25.361666666666665,0.0829166666666666,5.602916666666666,,47.60708333333333,3.7375,169.98041666666666,18.50208333333333,52.2325,623.83375,,3.0
2014.0,1,13.0,10.990416666666668,6.332083333333333,0.2629166666666666,7.880833333333332,,36.517916666666665,1.9166666666666667,263.7295833333333,18.42375,52.446666666666665,624.5566666666667,,3.0
2014.0,1,14.0,17.64125,24.35083333333333,0.2504166666666667,8.995,,49.434583333333336,3.1029166666666668,138.7516666666667,17.63625,43.02458333333333,623.965,,3.0
2014.0,1,15.0,19.44,29.87375,0.4104166666666666,6.882083333333334,,47.51833333333334,4.555,63.165,15.89625,40.96583333333333,625.1870833333334,,3.0
2014.0,1,16.0,15.727916666666667,19.57208333333333,0.38,7.49625,,73.48041666666667,2.24125,172.52583333333334,13.412083333333332,44.28375,623.6641666666667,,3.0
2014.0,1,17.0,11.573333333333332,12.1625,0.6879166666666666,9.602083333333333,,74.35875,2.4716666666666667,121.54625,15.500416666666666,35.69541666666667,623.3075,,3.0
2014.0,1,18.0,17.813333333333333,30.10083333333333,0.9045833333333334,7.476666666666667,,63.69291666666666,3.1808333333333336,140.55041666666668,15.0775,40.715,623.9658333333333,,3.0
2014.0,1,19.0,19.75166666666667,28.094166666666663,0.3041666666666666,7.244583333333334,,55.48166666666666,3.155,86.56833333333333,16.732083333333332,33.17375,624.9120833333333,,3.0
2014.0,1,20.0,15.4075,21.699583333333333,0.5291666666666667,8.687083333333334,,80.87416666666667,2.2616666666666667,180.82541666666668,16.638749999999998,43.07875000000001,624.4425,,3.0
2014.0,1,21.0,14.899583333333334,23.09625,0.57375,8.612916666666667,,83.24666666666667,3.6954166666666666,122.70958333333334,17.55375,37.25291666666666,624.7004166666667,,3.0
2014.0,1,22.0,19.555833333333336,28.899583333333336,0.6220833333333333,6.845833333333334,,98.96416666666666,2.509583333333333,145.27541666666667,15.93625,39.30791666666666,623.7062500000001,,3.0
2014.0,1,23.0,19.1825,9.755833333333332,0.92125,11.604583333333332,,107.7,1.6095833333333334,211.45791666666665,18.329166666666666,44.50833333333333,623.1525,,3.0
2014.0,1,24.0,18.131666666666668,21.896666666666665,0.5979166666666667,7.955000000000001,,59.38833333333333,3.7795833333333335,71.63208333333334,19.235,47.98083333333333,625.4633333333333,,3.0
2014.0,1,25.0,16.482499999999998,22.206666666666667,0.1341666666666666,7.142916666666667,,70.90625,2.650416666666666,123.4775,18.346666666666668,50.70166666666666,624.90625,,3.0
2014.0,1,26.0,16.613333333333333,8.897083333333333,0.2283333333333333,7.50625,,64.52166666666666,2.04125,185.07666666666668,19.6375,42.34666666666667,622.8816666666667,,3.0
2014.0,1,27.0,15.21875,6.999583333333334,0.3483333333333333,8.333333333333334,,80.71833333333333,1.9220833333333331,218.99041666666665,19.737916666666667,39.74666666666666,621.9470833333334,,3.0
2014.0,1,28.0,14.348333333333334,6.5325,0.51875,8.62375,,84.86916666666667,2.19125,207.115,19.63625,42.7425,621.3008333333333,,3.0
2014.0,1,29.0,11.24875,7.185,0.4966666666666666,9.720416666666669,,62.62166666666667,2.652083333333333,219.9508333333333,18.260416666666668,41.810833333333335,621.3091666666667,,3.0
2014.0,1,30.0,15.507916666666668,12.656666666666666,0.2879166666666666,7.183333333333334,,66.955,2.678333333333333,162.42125,16.36875,47.98583333333334,622.7162500000001,,3.0
